campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duracionCampaña,roiAjustado,eficienciaCosto,estacionesInicio,mesInicio,roiDiario
persistent fresh-thinking parallelism,2022-09-26,2024-07-24,40458.71,0.47,email,B2B,organic,0.6,748950.16,667.0,-666.53,708491.4500000001,3.0,September,0.000704647676161919
up-sized discrete superstructure,2023-04-08,2024-02-16,85035.31,0.35,webinar,B2C,referral,0.69,583929.45,314.0,-313.65,498894.13999999996,2.0,April,0.0011146496815286624
implemented next generation productivity,2022-08-16,2023-12-12,28881.52,0.83,email,B2B,referral,0.74,887826.15,483.0,-482.17,858944.63,3.0,August,0.0017184265010351965
persistent radical approach,2022-10-23,2023-08-15,99891.35,0.8,email,B2C,promotion,0.91,8272.5,296.0,-295.2,-91618.85,4.0,October,0.002702702702702703
robust dynamic circuit,2022-10-04,2024-04-29,35936.7,0.37,webinar,B2B,referral,0.13,575711.5,573.0,-572.63,539774.8,4.0,October,0.0006457242582897033
assimilated cohesive contingency,2023-03-10,2024-07-22,52088.32,0.6,podcast,B2B,referral,0.46,85934.39,500.0,-499.4,33846.07,1.0,March,0.0012
distributed heuristic extranet,2022-08-27,2023-12-31,19258.46,0.61,podcast,B2C,promotion,0.22,828613.75,491.0,-490.39,809355.29,3.0,August,0.0012423625254582484
public-key optimizing open architecture,2023-04-01,2023-11-13,35095.84,0.7,social media,B2C,paid,0.26,153946.14,226.0,-225.3,118850.30000000002,2.0,April,0.003097345132743363
self-enabling secondary methodology,2022-09-22,2024-04-16,89591.74,0.22,podcast,B2C,promotion,0.16,707937.27,572.0,-571.78,618345.53,3.0,September,0.0003846153846153846
multi-channeled intermediate project,2023-07-10,2024-06-11,30866.33,0.4,webinar,B2C,paid,0.51,487045.64,337.0,-336.6,456179.31,3.0,July,0.0011869436201780417
re-engineered 24/7 benchmark,2022-10-07,2023-08-02,60761.56,0.6,podcast,B2C,paid,0.46,560912.6,299.0,-298.4,500151.04,4.0,October,0.002006688963210702
automated 6thgeneration solution,2023-04-10,2023-08-27,82351.52,0.99,podcast,B2C,organic,0.27,470489.22,139.0,-138.01,388137.69999999995,2.0,April,0.007122302158273381
persevering asymmetric orchestration,2022-10-23,2024-03-12,68860.82,0.33,webinar,B2C,organic,0.82,360686.83,506.0,-505.67,291826.01,4.0,October,0.0006521739130434783
enhanced web-enabled knowledge user,2023-04-24,2024-05-25,71941.12,0.99,webinar,B2C,referral,0.67,793615.75,397.0,-396.01,721674.63,2.0,April,0.0024937027707808562
multi-tiered fresh-thinking monitoring,2023-01-31,2024-01-23,92487.68,0.5,social media,B2C,organic,0.48,539681.9,357.0,-356.5,447194.22000000003,1.0,January,0.0014005602240896359
cloned background ability,2023-05-08,2023-08-05,6690.98,0.95,podcast,B2C,referral,0.6,419310.48,89.0,-88.05,412619.5,2.0,May,0.010674157303370785
up-sized bifurcated budgetary management,2023-06-21,2024-03-29,65932.3,0.46,email,B2B,paid,0.64,868615.57,282.0,-281.54,802683.2699999999,2.0,June,0.0016312056737588653
virtual methodical projection,2022-08-28,2023-08-03,2939.44,0.23,podcast,B2B,referral,0.34,517886.3,340.0,-339.77,514946.86,3.0,August,0.0006764705882352941
configurable 6thgeneration approach,2023-07-20,2023-08-05,89898.65,0.51,social media,B2C,paid,0.94,940644.5,16.0,-15.49,850745.85,3.0,July,0.031875
networked zero administration hardware,2023-06-18,2024-01-12,79330.1,0.6,webinar,B2C,promotion,0.6,993317.73,208.0,-207.4,913987.63,2.0,June,0.0028846153846153843
integrated dedicated solution,2023-04-25,2023-09-26,49871.16,0.59,webinar,B2B,promotion,0.13,753551.91,154.0,-153.41,703680.75,2.0,April,0.003831168831168831
managed coherent local area network,2022-08-22,2024-07-09,86898.8,0.2,email,B2B,paid,0.63,627464.79,687.0,-686.8,540565.99,3.0,August,0.0002911208151382824
assimilated bifurcated policy,2023-07-12,2024-06-07,88219.78,0.56,podcast,B2C,organic,0.9,385119.98,331.0,-330.44,296900.19999999995,3.0,July,0.001691842900302115
intuitive secondary initiative,2023-07-21,2023-10-02,40691.9,0.87,email,B2C,organic,0.5,924409.28,73.0,-72.13,883717.38,3.0,July,0.011917808219178082
reverse-engineered bandwidth-monitored encoding,2023-04-13,2023-12-22,72683.1,0.37,social media,B2B,paid,0.71,778626.74,253.0,-252.63,705943.64,2.0,April,0.0014624505928853755
adaptive 24/7 open architecture,2023-04-28,2024-04-26,11646.16,0.8,email,B2B,organic,0.81,13324.2,364.0,-363.2,1678.0400000000009,2.0,April,0.002197802197802198
grass-roots holistic migration,2022-08-26,2023-12-23,89917.95,0.67,email,B2B,promotion,0.24,736828.76,484.0,-483.33,646910.81,3.0,August,0.001384297520661157
face-to-face background methodology,2022-11-26,2024-04-19,78099.81,0.94,webinar,B2C,organic,0.35,535075.58,510.0,-509.06,456975.76999999996,4.0,November,0.0018431372549019608
visionary neutral attitude,2023-07-02,2024-07-25,35717.61,0.19,podcast,B2C,organic,0.1,146092.95,389.0,-388.81,110375.34000000001,3.0,July,0.0004884318766066838
grass-roots tertiary adapter,2023-02-21,2024-03-25,74243.84,0.9,webinar,B2B,promotion,0.95,562833.1,398.0,-397.1,488589.26,1.0,February,0.0022613065326633165
function-based dynamic focus group,2022-12-17,2024-02-08,25475.7,0.1,webinar,B2C,paid,0.43,869402.93,418.0,-417.9,843927.2300000001,4.0,December,0.00023923444976076556
multi-tiered stable installation,2023-03-23,2024-04-15,28552.53,0.1,webinar,B2C,paid,0.2,472180.81,389.0,-388.9,443628.28,1.0,March,0.00025706940874035993
proactive explicit migration,2023-07-06,2023-08-06,38420.97,0.96,social media,B2C,organic,0.58,833349.14,31.0,-30.04,794928.17,3.0,July,0.03096774193548387
reactive eco-centric synergy,2023-07-03,2024-04-23,39225.15,0.28,email,B2B,paid,0.84,127445.11,295.0,-294.72,88219.95999999999,3.0,July,0.0009491525423728814
automated dedicated budgetary management,2023-08-01,2024-04-06,1436.99,0.14,podcast,B2B,organic,0.87,881768.44,249.0,-248.86,880331.45,3.0,August,0.0005622489959839358
multi-channeled coherent moderator,2022-08-10,2024-03-18,11007.95,0.79,podcast,B2C,referral,0.81,680150.2,586.0,-585.21,669142.25,3.0,August,0.001348122866894198
synergized bottom-line paradigm,2022-12-06,2024-07-09,94432.87,0.63,social media,B2C,organic,0.2,524902.66,581.0,-580.37,430469.79000000004,4.0,December,0.0010843373493975904
phased attitude-oriented standardization,2023-07-03,2024-05-12,87100.53,0.53,podcast,B2B,referral,0.32,959625.18,314.0,-313.47,872524.65,3.0,July,0.0016878980891719747
open-architected bottom-line algorithm,2022-11-11,2023-11-15,81473.25,0.96,webinar,B2C,paid,0.37,471361.8,369.0,-368.04,389888.55,4.0,November,0.0026016260162601626
open-source homogeneous product,2023-05-31,2023-09-30,89921.79,0.79,webinar,B2B,organic,0.51,423523.6,122.0,-121.21,333601.81,2.0,May,0.006475409836065574
reduced tertiary implementation,2022-08-10,2023-10-22,93538.7,0.83,email,B2B,organic,0.4,949355.73,438.0,-437.17,855817.03,3.0,August,0.0018949771689497717
proactive incremental framework,2022-12-16,2024-05-21,96760.38,0.12,email,B2B,referral,0.33,353251.17,522.0,-521.88,256490.78999999998,4.0,December,0.00022988505747126436
quality-focused hybrid policy,2023-01-28,2024-05-10,90020.46,0.55,social media,B2C,promotion,0.9,766391.61,468.0,-467.45,676371.15,1.0,January,0.0011752136752136754
progressive 24hour utilization,2022-11-01,2024-03-14,14495.84,0.3,podcast,B2C,referral,0.56,105658.26,499.0,-498.7,91162.42,4.0,November,0.0006012024048096192
organized coherent utilization,2022-09-12,2024-05-18,7889.64,0.52,email,B2C,referral,0.56,160161.3,614.0,-613.48,152271.65999999997,3.0,September,0.0008469055374592835
versatile user-facing benchmark,2022-09-19,2024-05-21,53658.92,0.9,social media,B2B,promotion,0.0,761292.13,610.0,-609.1,707633.21,3.0,September,0.0014754098360655738
configurable client-driven migration,2022-12-09,2024-03-10,21172.32,0.16,social media,B2C,referral,0.32,972694.3,457.0,-456.84,951521.9800000001,4.0,December,0.000350109409190372
public-key fresh-thinking intranet,2023-07-23,2024-04-01,88296.95,0.19,webinar,B2C,referral,0.13,928231.8,253.0,-252.81,839934.8500000001,3.0,July,0.0007509881422924901
self-enabling bandwidth-monitored array,2022-09-15,2024-04-05,42970.96,0.84,webinar,B2C,referral,0.68,345521.31,568.0,-567.16,302550.35,3.0,September,0.0014788732394366197
profound disintermediate analyzer,2022-12-16,2023-11-09,49418.2,0.4,social media,B2B,paid,0.83,917197.39,328.0,-327.6,867779.1900000001,4.0,December,0.0012195121951219512
multi-tiered multi-tasking support,2022-10-23,2023-12-08,3809.12,0.22,webinar,B2C,referral,0.2,573889.99,411.0,-410.78,570080.87,4.0,October,0.0005352798053527981
triple-buffered next generation moderator,2023-07-22,2024-02-17,96955.19,0.51,webinar,B2B,promotion,0.51,605117.55,210.0,-209.49,508162.36000000004,3.0,July,0.002428571428571429
synergistic needs-based framework,2022-10-21,2024-04-27,22787.98,0.41,webinar,B2C,organic,0.29,940147.71,554.0,-553.59,917359.73,4.0,October,0.000740072202166065
horizontal national alliance,2022-12-20,2023-11-10,59550.27,0.47,social media,B2C,referral,0.42,345405.0,325.0,-324.53,285854.73,4.0,December,0.0014461538461538461
team-oriented mobile contingency,2023-03-29,2024-01-25,55219.7,0.97,podcast,B2B,promotion,0.64,643859.1,302.0,-301.03,588639.4,1.0,March,0.0032119205298013244
persistent grid-enabled contingency,2022-10-14,2024-02-06,38978.72,0.1,podcast,B2C,organic,0.25,730692.49,480.0,-479.9,691713.77,4.0,October,0.00020833333333333335
reactive real-time array,2023-06-21,2024-04-13,77106.38,0.34,podcast,B2C,promotion,0.39,187751.15,297.0,-296.66,110644.76999999999,2.0,June,0.0011447811447811449
programmable asynchronous encryption,2023-01-17,2023-12-22,16485.72,0.89,podcast,B2B,referral,0.41,9714.17,339.0,-338.11,-6771.550000000001,1.0,January,0.0026253687315634217
object-based web-enabled intranet,2023-06-01,2023-08-11,32297.26,0.93,webinar,B2B,promotion,0.17,919995.28,71.0,-70.07,887698.02,2.0,June,0.013098591549295775
universal exuding artificial intelligence,2023-04-25,2024-07-24,80372.5,0.3,webinar,B2B,paid,0.3,260204.2,456.0,-455.7,179831.7,2.0,April,0.0006578947368421052
cross-group bandwidth-monitored time-frame,2022-11-30,2024-03-18,51871.97,0.56,email,B2B,paid,0.55,389969.52,474.0,-473.44,338097.55000000005,4.0,November,0.0011814345991561183
customer-focused web-enabled framework,2023-01-04,2023-12-30,3162.85,0.27,social media,B2B,organic,0.71,625063.38,360.0,-359.73,621900.53,1.0,January,0.00075
synergized local emulation,2023-04-20,2023-12-10,1793.79,0.28,webinar,B2B,promotion,0.3,441129.4,234.0,-233.72,439335.61000000004,2.0,April,0.0011965811965811968
multi-tiered object-oriented knowledge user,2023-04-22,2023-10-28,52804.87,0.0,email,B2C,paid,0.25,880106.4,189.0,-189.0,827301.53,2.0,April,0.0
multi-lateral mission-critical productivity,2023-04-21,2023-09-12,71940.27,0.84,social media,B2B,referral,0.73,720494.61,144.0,-143.16,648554.34,2.0,April,0.005833333333333333
re-contextualized reciprocal secured line,2023-03-19,2023-10-09,83645.54,0.58,social media,B2B,referral,0.27,607963.82,204.0,-203.42,524318.2799999999,1.0,March,0.0028431372549019606
compatible actuating utilization,2022-09-29,2024-03-14,40895.28,0.84,webinar,B2C,promotion,0.53,322795.47,532.0,-531.16,281900.18999999994,3.0,September,0.0015789473684210526
compatible full-range open system,2023-05-29,2024-06-04,33898.88,0.5,social media,B2B,referral,0.58,300424.53,372.0,-371.5,266525.65,2.0,May,0.0013440860215053765
switchable incremental collaboration,2023-03-28,2023-11-28,46310.28,0.77,webinar,B2B,paid,0.53,486051.65,245.0,-244.23,439741.37,1.0,March,0.003142857142857143
monitored maximized project,2023-05-07,2024-05-17,32095.6,0.69,email,B2B,promotion,0.37,442320.4,376.0,-375.31,410224.80000000005,2.0,May,0.0018351063829787234
compatible grid-enabled info-mediaries,2023-01-27,2023-11-21,96019.69,0.84,webinar,B2C,organic,0.57,687313.27,298.0,-297.16,591293.5800000001,1.0,January,0.0028187919463087247
cloned foreground portal,2022-09-14,2023-08-17,13908.21,0.54,podcast,B2B,promotion,0.88,816603.99,337.0,-336.46,802695.78,3.0,September,0.001602373887240356
devolved homogeneous projection,2023-04-25,2024-05-24,4833.32,0.7,webinar,B2C,promotion,0.22,864437.87,395.0,-394.3,859604.55,2.0,April,0.0017721518987341772
profound non-volatile complexity,2022-10-03,2023-08-18,28827.53,0.76,social media,B2C,paid,0.94,734015.4,319.0,-318.24,705187.87,4.0,October,0.002382445141065831
focused holistic collaboration,2023-01-31,2023-11-02,89440.32,0.88,email,B2C,promotion,0.85,931725.82,275.0,-274.12,842285.5,1.0,January,0.0032
optimized zero administration task-force,2022-12-31,2024-01-14,31564.29,0.77,podcast,B2B,referral,0.83,931183.22,379.0,-378.23,899618.9299999999,4.0,December,0.0020316622691292875
customizable zero administration application,2022-08-27,2024-01-01,86492.2,0.38,podcast,B2B,paid,0.23,122398.7,492.0,-491.62,35906.5,3.0,August,0.0007723577235772358
balanced multi-tasking adapter,2023-07-13,2024-06-23,13945.61,0.63,email,B2B,promotion,0.57,794815.89,346.0,-345.37,780870.28,3.0,July,0.0018208092485549133
ameliorated grid-enabled capability,2023-01-19,2023-10-02,13105.34,0.37,social media,B2B,paid,0.6,501764.55,256.0,-255.63,488659.20999999996,1.0,January,0.0014453125
monitored full-range matrix,2022-09-02,2023-10-11,27771.85,0.39,social media,B2B,referral,0.58,673575.17,404.0,-403.61,645803.3200000001,3.0,September,0.0009653465346534653
multi-tiered empowering adapter,2023-02-24,2023-09-29,30544.22,0.83,podcast,B2B,organic,0.47,40247.47,217.0,-216.17,9703.25,1.0,February,0.003824884792626728
re-contextualized mission-critical help-desk,2023-03-28,2023-11-22,35286.84,0.17,webinar,B2B,paid,0.45,195049.24,239.0,-238.83,159762.4,1.0,March,0.0007112970711297072
face-to-face foreground service-desk,2023-03-15,2024-05-07,23254.87,0.66,social media,B2C,promotion,0.59,817356.61,419.0,-418.34,794101.74,1.0,March,0.0015751789976133652
re-contextualized solution-oriented circuit,2022-08-25,2023-12-04,29101.58,0.74,email,B2C,referral,0.57,798538.44,466.0,-465.26,769436.86,3.0,August,0.0015879828326180257
managed didactic system engine,2023-07-14,2024-07-18,31358.99,0.7,social media,B2C,referral,0.86,378814.53,370.0,-369.3,347455.54000000004,3.0,July,0.0018918918918918919
expanded 4thgeneration groupware,2023-04-02,2023-08-23,51725.95,0.7,email,B2B,paid,0.72,654019.7,143.0,-142.3,602293.75,2.0,April,0.004895104895104895
total well-modulated knowledge user,2022-08-22,2023-10-19,28468.75,0.82,webinar,B2C,organic,0.11,151441.9,423.0,-422.18,122973.15,3.0,August,0.0019385342789598108
polarized high-level ability,2022-09-20,2024-03-22,8627.43,0.26,email,B2B,promotion,0.75,823000.43,549.0,-548.74,814373.0,3.0,September,0.00047358834244080146
reduced high-level methodology,2023-04-12,2024-02-27,92072.41,0.48,email,B2B,organic,0.54,8811.92,321.0,-320.52,-83260.49,2.0,April,0.0014953271028037382
robust executive migration,2023-01-29,2023-12-05,42804.51,0.55,podcast,B2C,organic,0.79,650574.93,310.0,-309.45,607770.42,1.0,January,0.0017741935483870969
inverse background firmware,2022-09-08,2024-05-01,4270.96,0.64,email,B2B,promotion,0.8,30917.19,601.0,-600.36,26646.23,3.0,September,0.0010648918469217971
vision-oriented client-server conglomeration,2022-08-30,2024-02-21,68514.74,0.1,podcast,B2B,organic,0.75,123066.22,540.0,-539.9,54551.479999999996,3.0,August,0.0001851851851851852
reduced motivating analyzer,2023-07-18,2024-07-16,76849.0,0.72,webinar,B2C,promotion,0.45,453670.5,364.0,-363.28,376821.5,3.0,July,0.001978021978021978
focused empowering capacity,2023-05-04,2024-05-23,74278.5,0.3,social media,B2B,promotion,0.12,863407.86,385.0,-384.7,789129.36,2.0,May,0.0007792207792207792
front-line multi-tasking moderator,2023-01-09,2024-04-18,21674.14,0.75,podcast,B2B,promotion,0.65,917565.26,465.0,-464.25,895891.12,1.0,January,0.0016129032258064516
realigned 24/7 hub,2022-09-21,2024-05-23,72864.67,0.16,social media,B2C,referral,0.7,360392.7,610.0,-609.84,287528.03,3.0,September,0.00026229508196721314
de-engineered 6thgeneration parallelism,2023-01-29,2024-07-12,47218.62,0.24,podcast,B2B,referral,0.96,931639.51,530.0,-529.76,884420.89,1.0,January,0.0004528301886792453
mandatory 3rdgeneration matrices,2023-07-02,2023-10-28,29709.16,0.86,social media,B2C,referral,0.12,811850.37,118.0,-117.14,782141.21,3.0,July,0.007288135593220339
compatible full-range toolset,2023-01-23,2023-08-07,55196.85,0.9,podcast,B2B,promotion,0.4,561046.37,196.0,-195.1,505849.52,1.0,January,0.004591836734693878
switchable 3rdgeneration projection,2023-07-01,2023-12-07,72566.45,0.12,podcast,B2C,referral,0.33,713030.96,159.0,-158.88,640464.51,3.0,July,0.0007547169811320754
programmable homogeneous projection,2022-09-24,2023-11-12,11006.3,0.25,podcast,B2C,promotion,0.98,3641.3,414.0,-413.75,-7364.999999999999,3.0,September,0.0006038647342995169
decentralized contextually-based capability,2023-02-22,2024-06-09,9950.82,0.97,webinar,B2C,referral,0.5,482845.35,473.0,-472.03,472894.52999999997,1.0,February,0.0020507399577167017
exclusive next generation info-mediaries,2023-03-26,2024-04-04,38117.82,0.64,podcast,B2C,promotion,0.4,600708.1,375.0,-374.36,562590.28,1.0,March,0.0017066666666666667
cloned scalable strategy,2022-09-01,2024-06-14,74720.7,0.9,email,B2B,paid,0.49,774366.5,652.0,-651.1,699645.8,3.0,September,0.0013803680981595093
public-key full-range matrices,2023-07-16,2023-09-03,37221.22,0.17,email,B2C,organic,0.1,681365.12,49.0,-48.83,644143.9,3.0,July,0.003469387755102041
multi-layered methodical structure,2022-09-29,2024-05-03,33682.83,0.16,social media,B2C,referral,0.25,189755.91,582.0,-581.84,156073.08000000002,3.0,September,0.00027491408934707907
organic holistic graphical user interface,2023-07-05,2023-12-03,1810.82,0.14,email,B2C,promotion,0.87,270481.39,151.0,-150.86,268670.57,3.0,July,0.0009271523178807948
multi-channeled upward-trending instruction set,2023-02-28,2024-03-06,29840.15,0.19,webinar,B2B,organic,0.78,631347.68,372.0,-371.81,601507.53,1.0,February,0.0005107526881720431
managed even-keeled internet solution,2023-03-09,2024-01-12,81342.1,0.66,email,B2C,promotion,0.91,362030.2,309.0,-308.34,280688.1,1.0,March,0.0021359223300970874
customer-focused systemic capability,2023-01-01,2024-04-01,96731.22,0.49,social media,B2B,organic,0.8,750903.16,456.0,-455.51,654171.9400000001,1.0,January,0.0010745614035087719
inverse non-volatile superstructure,2022-08-06,2023-12-13,27329.38,0.32,email,B2B,organic,0.6,873619.99,494.0,-493.68,846290.61,3.0,August,0.0006477732793522267
multi-lateral needs-based collaboration,2022-09-23,2024-01-25,21718.66,0.51,social media,B2C,organic,0.65,838552.42,489.0,-488.49,816833.76,3.0,September,0.0010429447852760736
ergonomic empowering attitude,2023-04-26,2024-01-12,80659.67,0.61,email,B2C,promotion,0.7,534572.47,261.0,-260.39,453912.8,2.0,April,0.002337164750957854
switchable secondary hierarchy,2023-04-29,2023-11-18,95913.4,0.55,email,B2B,promotion,0.91,651889.94,203.0,-202.45,555976.5399999999,2.0,April,0.0027093596059113304
ameliorated bi-directional graphic interface,2023-05-07,2023-11-21,34910.16,0.57,podcast,B2C,referral,0.97,613092.25,198.0,-197.43,578182.09,2.0,May,0.0028787878787878787
secured attitude-oriented info-mediaries,2022-11-14,2023-10-11,51394.97,0.59,email,B2B,paid,0.41,841615.61,331.0,-330.41,790220.64,4.0,November,0.001782477341389728
enterprise-wide bandwidth-monitored toolset,2022-08-17,2024-04-21,27577.78,0.4,podcast,B2B,paid,0.4,665815.39,613.0,-612.6,638237.61,3.0,August,0.0006525285481239804
compatible mobile open system,2023-03-03,2024-05-29,31618.12,0.29,webinar,B2C,paid,0.87,455453.72,453.0,-452.71,423835.6,1.0,March,0.0006401766004415011
vision-oriented object-oriented structure,2023-04-30,2024-03-24,84055.7,0.57,email,B2C,referral,0.85,302692.25,329.0,-328.43,218636.55,2.0,April,0.0017325227963525835
re-engineered holistic data-warehouse,2022-10-03,2024-05-09,28051.5,0.4,podcast,B2C,referral,0.36,374910.63,584.0,-583.6,346859.13,4.0,October,0.0006849315068493151
multi-channeled reciprocal utilization,2022-08-21,2024-07-10,16470.61,0.9,social media,B2B,organic,0.7,533910.94,689.0,-688.1,517440.32999999996,3.0,August,0.0013062409288824384
object-based discrete strategy,2023-07-22,2023-10-20,39241.75,0.47,podcast,B2B,referral,0.59,252287.84,90.0,-89.53,213046.09,3.0,July,0.005222222222222222
customizable human-resource monitoring,2023-03-20,2023-12-06,54166.71,0.43,webinar,B2B,paid,0.15,735390.8,261.0,-260.57,681224.0900000001,1.0,March,0.0016475095785440613
synergized actuating policy,2023-04-07,2024-06-20,40958.7,0.77,podcast,B2B,promotion,0.39,921182.15,440.0,-439.23,880223.4500000001,2.0,April,0.00175
versatile object-oriented access,2023-06-21,2024-02-21,21009.79,0.96,podcast,B2B,referral,0.54,321994.2,245.0,-244.04,300984.41000000003,2.0,June,0.003918367346938775
de-engineered 24/7 archive,2023-06-15,2024-01-31,23099.8,0.25,social media,B2C,paid,0.98,396851.15,230.0,-229.75,373751.35000000003,2.0,June,0.0010869565217391304
profit-focused multimedia concept,2022-09-20,2023-11-04,33618.7,0.54,webinar,B2C,paid,0.8,868303.57,410.0,-409.46,834684.87,3.0,September,0.0013170731707317074
vision-oriented transitional process improvement,2023-06-27,2023-11-26,55436.7,0.8,podcast,B2B,organic,0.99,786705.7,152.0,-151.2,731269.0,2.0,June,0.005263157894736842
pre-emptive mission-critical knowledge user,2023-03-08,2024-06-28,73916.74,0.33,webinar,B2B,promotion,0.69,232695.36,478.0,-477.67,158778.62,1.0,March,0.000690376569037657
cross-group object-oriented moderator,2022-08-27,2023-11-18,66331.63,0.4,podcast,B2C,promotion,0.4,916634.12,448.0,-447.6,850302.49,3.0,August,0.0008928571428571429
grass-roots eco-centric strategy,2022-10-22,2023-10-25,39767.24,0.95,email,B2B,paid,0.33,406566.2,368.0,-367.05,366798.96,4.0,October,0.0025815217391304346
customizable global hierarchy,2023-04-26,2023-10-12,86716.38,0.74,email,B2B,paid,0.95,69360.86,169.0,-168.26,-17355.520000000004,2.0,April,0.004378698224852071
future-proofed uniform alliance,2023-03-22,2024-06-14,69474.96,0.4,email,B2B,organic,0.7,86176.18,450.0,-449.6,16701.219999999987,1.0,March,0.0008888888888888889
balanced asynchronous contingency,2022-10-31,2024-04-07,7952.69,0.8,social media,B2C,promotion,0.14,772286.49,524.0,-523.2,764333.8,4.0,October,0.0015267175572519084
robust disintermediate neural-net,2023-04-17,2023-11-15,92395.78,0.37,social media,B2C,organic,0.31,949696.65,212.0,-211.63,857300.87,2.0,April,0.0017452830188679244
multi-lateral dynamic encryption,2023-04-21,2024-01-04,76016.6,0.98,social media,B2B,promotion,0.38,809123.64,258.0,-257.02,733107.04,2.0,April,0.0037984496124031006
customer-focused human-resource algorithm,2022-12-15,2024-03-07,32965.35,0.43,email,B2C,referral,0.77,838474.56,448.0,-447.57,805509.2100000001,4.0,December,0.0009598214285714286
re-contextualized zero-defect artificial intelligence,2023-04-13,2024-04-02,99120.34,0.34,webinar,B2B,referral,0.67,227398.12,355.0,-354.66,128277.78,2.0,April,0.0009577464788732396
decentralized system-worthy neural-net,2023-01-24,2023-10-25,65906.93,0.98,email,B2B,promotion,0.9,543317.45,274.0,-273.02,477410.51999999996,1.0,January,0.0035766423357664234
reduced content-based graphic interface,2022-10-26,2024-03-03,16945.29,0.72,social media,B2C,referral,0.76,884669.86,494.0,-493.28,867724.57,4.0,October,0.00145748987854251
de-engineered non-volatile hardware,2023-02-10,2024-02-14,41041.24,0.21,email,B2C,organic,0.51,394039.86,369.0,-368.79,352998.62,1.0,February,0.0005691056910569106
intuitive system-worthy interface,2022-12-28,2024-06-28,44445.2,0.83,webinar,B2C,referral,0.39,300733.58,548.0,-547.17,256288.38,4.0,December,0.0015145985401459853
networked systematic budgetary management,2023-02-13,2023-12-20,11742.47,0.49,email,B2B,organic,0.2,672241.21,310.0,-309.51,660498.74,1.0,February,0.0015806451612903226
open-source radical extranet,2022-12-09,2023-09-22,68103.5,0.35,email,B2B,referral,0.56,196290.5,287.0,-286.65,128187.0,4.0,December,0.0012195121951219512
monitored high-level contingency,2023-02-17,2023-10-10,26563.78,0.9,social media,B2B,paid,0.32,863720.51,235.0,-234.1,837156.73,1.0,February,0.0038297872340425534
switchable actuating encryption,2022-11-25,2023-09-14,3104.48,0.16,webinar,B2C,referral,0.57,352571.87,293.0,-292.84,349467.39,4.0,November,0.0005460750853242321
profit-focused actuating open architecture,2023-01-14,2024-03-30,1480.67,0.83,social media,B2C,promotion,0.89,777983.15,441.0,-440.17,776502.48,1.0,January,0.0018820861678004535
compatible 5thgeneration open architecture,2023-06-27,2024-06-09,43263.23,0.97,social media,B2B,paid,0.27,284363.38,348.0,-347.03,241100.15,2.0,June,0.0027873563218390805
business-focused systemic policy,2022-08-21,2024-07-21,50643.73,0.91,email,B2B,organic,0.6,630320.3,700.0,-699.09,579676.5700000001,3.0,August,0.0013
front-line high-level encryption,2023-03-31,2023-09-10,30878.98,0.21,podcast,B2B,promotion,0.7,666756.8,163.0,-162.79,635877.8200000001,1.0,March,0.0012883435582822086
reduced analyzing moratorium,2023-05-12,2023-08-07,30319.57,0.24,email,B2B,promotion,0.19,926893.18,87.0,-86.76,896573.6100000001,2.0,May,0.002758620689655172
configurable systematic concept,2023-01-30,2023-12-03,89283.48,0.1,email,B2B,referral,0.67,907297.81,307.0,-306.9,818014.3300000001,1.0,January,0.0003257328990228013
versatile actuating synergy,2023-01-03,2024-01-28,64733.0,0.21,email,B2B,referral,0.75,930401.42,390.0,-389.79,865668.42,1.0,January,0.0005384615384615384
mandatory neutral ability,2023-03-22,2024-06-17,1635.98,0.23,email,B2B,organic,0.9,125526.72,453.0,-452.77,123890.74,1.0,March,0.0005077262693156733
re-contextualized clear-thinking matrix,2022-12-17,2024-02-15,11395.3,0.6,social media,B2B,promotion,0.88,741815.81,425.0,-424.4,730420.51,4.0,December,0.0014117647058823528
front-line neutral concept,2023-07-09,2023-09-21,24959.24,0.66,email,B2C,paid,0.73,407610.45,74.0,-73.34,382651.21,3.0,July,0.00891891891891892
synergistic optimizing approach,2023-06-25,2023-10-13,59973.81,0.45,social media,B2B,paid,0.7,314799.19,110.0,-109.55,254825.38,2.0,June,0.004090909090909091
grass-roots content-based synergy,2022-09-03,2024-06-10,11703.28,0.67,email,B2B,referral,0.46,236446.2,646.0,-645.33,224742.92,3.0,September,0.0010371517027863777
cross-group web-enabled methodology,2023-05-04,2024-03-10,8250.93,0.3,podcast,B2B,paid,0.32,595779.73,311.0,-310.7,587528.7999999999,2.0,May,0.0009646302250803858
total impactful budgetary management,2023-05-07,2023-09-29,6304.42,0.13,email,B2C,organic,0.5,807283.82,145.0,-144.87,800979.3999999999,2.0,May,0.000896551724137931
phased background toolset,2022-10-31,2024-06-28,72368.61,0.79,podcast,B2B,referral,0.33,388308.21,606.0,-605.21,315939.60000000003,4.0,October,0.0013036303630363038
cross-platform web-enabled ability,2023-05-10,2024-06-16,37696.45,0.14,email,B2C,promotion,0.28,666027.78,403.0,-402.86,628331.3300000001,2.0,May,0.0003473945409429281
quality-focused 4thgeneration database,2022-12-08,2024-01-04,6333.7,0.83,webinar,B2C,organic,0.61,119783.92,392.0,-391.17,113450.22,4.0,December,0.00211734693877551
